0016070 Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Open Approach
0PW2X4Z Revision of Internal Fixation Device in 3 or More Ribs, External Approach
0PW2X7Z Revision of Autologous Tissue Substitute in 3 or More Ribs, External Approach
0PW2XJZ Revision of Synthetic Substitute in 3 or More Ribs, External Approach
0PW2XKZ Revision of Nonautologous Tissue Substitute in 3 or More Ribs, External Approach
0PW304Z Revision of Internal Fixation Device in Cervical Vertebra, Open Approach
0PW307Z Revision of Autologous Tissue Substitute in Cervical Vertebra, Open Approach
0PW30JZ Revision of Synthetic Substitute in Cervical Vertebra, Open Approach
0PW30KZ Revision of Nonautologous Tissue Substitute in Cervical Vertebra, Open Approach
0PW334Z Revision of Internal Fixation Device in Cervical Vertebra, Percutaneous Approach
0PW337Z Revision of Autologous Tissue Substitute in Cervical Vertebra, Percutaneous Approach
0PW33JZ Revision of Synthetic Substitute in Cervical Vertebra, Percutaneous Approach
0PW33KZ Revision of Nonautologous Tissue Substitute in Cervical Vertebra, Percutaneous Approach
0PW344Z Revision of Internal Fixation Device in Cervical Vertebra, Percutaneous Endoscopic Approach
0PW347Z Revision of Autologous Tissue Substitute in Cervical Vertebra, Percutaneous Endoscopic Approach
0PW34JZ Revision of Synthetic Substitute in Cervical Vertebra, Percutaneous Endoscopic Approach
0PW34KZ Revision of Nonautologous Tissue Substitute in Cervical Vertebra, Percutaneous Endoscopic Approach
0PW3X4Z Revision of Internal Fixation Device in Cervical Vertebra, External Approach
0PW3X7Z Revision of Autologous Tissue Substitute in Cervical Vertebra, External Approach
0PW3XJZ Revision of Synthetic Substitute in Cervical Vertebra, External Approach
0PW3XKZ Revision of Nonautologous Tissue Substitute in Cervical Vertebra, External Approach
0PW404Z Revision of Internal Fixation Device in Thoracic Vertebra, Open Approach
0PW407Z Revision of Autologous Tissue Substitute in Thoracic Vertebra, Open Approach
0PW40JZ Revision of Synthetic Substitute in Thoracic Vertebra, Open Approach
0PW40KZ Revision of Nonautologous Tissue Substitute in Thoracic Vertebra, Open Approach
0PW434Z Revision of Internal Fixation Device in Thoracic Vertebra, Percutaneous Approach
0PW437Z Revision of Autologous Tissue Substitute in Thoracic Vertebra, Percutaneous Approach
0PW43JZ Revision of Synthetic Substitute in Thoracic Vertebra, Percutaneous Approach
0PW43KZ Revision of Nonautologous Tissue Substitute in Thoracic Vertebra, Percutaneous Approach
0PW444Z Revision of Internal Fixation Device in Thoracic Vertebra, Percutaneous Endoscopic Approach
0PW447Z Revision of Autologous Tissue Substitute in Thoracic Vertebra, Percutaneous Endoscopic Approach
0PW44JZ Revision of Synthetic Substitute in Thoracic Vertebra, Percutaneous Endoscopic Approach
0PW44KZ Revision of Nonautologous Tissue Substitute in Thoracic Vertebra, Percutaneous Endoscopic Approach
0PW4X4Z Revision of Internal Fixation Device in Thoracic Vertebra, External Approach
0PW4X7Z Revision of Autologous Tissue Substitute in Thoracic Vertebra, External Approach
0PW4XJZ Revision of Synthetic Substitute in Thoracic Vertebra, External Approach
0PW4XKZ Revision of Nonautologous Tissue Substitute in Thoracic Vertebra, External Approach
0PW504Z Revision of Internal Fixation Device in Right Scapula, Open Approach
0PW507Z Revision of Autologous Tissue Substitute in Right Scapula, Open Approach
0PW50JZ Revision of Synthetic Substitute in Right Scapula, Open Approach
0PW50KZ Revision of Nonautologous Tissue Substitute in Right Scapula, Open Approach
0PW534Z Revision of Internal Fixation Device in Right Scapula, Percutaneous Approach
0PW537Z Revision of Autologous Tissue Substitute in Right Scapula, Percutaneous Approach
0PW53JZ Revision of Synthetic Substitute in Right Scapula, Percutaneous Approach
0PW53KZ Revision of Nonautologous Tissue Substitute in Right Scapula, Percutaneous Approach
0PW544Z Revision of Internal Fixation Device in Right Scapula, Percutaneous Endoscopic Approach
0PW547Z Revision of Autologous Tissue Substitute in Right Scapula, Percutaneous Endoscopic Approach
0PW54JZ Revision of Synthetic Substitute in Right Scapula, Percutaneous Endoscopic Approach
0PW54KZ Revision of Nonautologous Tissue Substitute in Right Scapula, Percutaneous Endoscopic Approach
0PW5X4Z Revision of Internal Fixation Device in Right Scapula, External Approach
0PW5X7Z Revision of Autologous Tissue Substitute in Right Scapula, External Approach
0PW5XJZ Revision of Synthetic Substitute in Right Scapula, External Approach
0PW5XKZ Revision of Nonautologous Tissue Substitute in Right Scapula, External Approach
0PW604Z Revision of Internal Fixation Device in Left Scapula, Open Approach
0PW607Z Revision of Autologous Tissue Substitute in Left Scapula, Open Approach
0PW60JZ Revision of Synthetic Substitute in Left Scapula, Open Approach
0PW60KZ Revision of Nonautologous Tissue Substitute in Left Scapula, Open Approach
0PW634Z Revision of Internal Fixation Device in Left Scapula, Percutaneous Approach
0PW637Z Revision of Autologous Tissue Substitute in Left Scapula, Percutaneous Approach
0PW63JZ Revision of Synthetic Substitute in Left Scapula, Percutaneous Approach
0PW63KZ Revision of Nonautologous Tissue Substitute in Left Scapula, Percutaneous Approach
0PW644Z Revision of Internal Fixation Device in Left Scapula, Percutaneous Endoscopic Approach
0PW647Z Revision of Autologous Tissue Substitute in Left Scapula, Percutaneous Endoscopic Approach
0PW64JZ Revision of Synthetic Substitute in Left Scapula, Percutaneous Endoscopic Approach
0PW64KZ Revision of Nonautologous Tissue Substitute in Left Scapula, Percutaneous Endoscopic Approach
0PW6X4Z Revision of Internal Fixation Device in Left Scapula, External Approach
0PW6X7Z Revision of Autologous Tissue Substitute in Left Scapula, External Approach
0PW6XJZ Revision of Synthetic Substitute in Left Scapula, External Approach
0PW6XKZ Revision of Nonautologous Tissue Substitute in Left Scapula, External Approach
0PW704Z Revision of Internal Fixation Device in Right Glenoid Cavity, Open Approach
0PW707Z Revision of Autologous Tissue Substitute in Right Glenoid Cavity, Open Approach
0PW70JZ Revision of Synthetic Substitute in Right Glenoid Cavity, Open Approach
0PW70KZ Revision of Nonautologous Tissue Substitute in Right Glenoid Cavity, Open Approach
0PW734Z Revision of Internal Fixation Device in Right Glenoid Cavity, Percutaneous Approach
0PW737Z Revision of Autologous Tissue Substitute in Right Glenoid Cavity, Percutaneous Approach
0PW73JZ Revision of Synthetic Substitute in Right Glenoid Cavity, Percutaneous Approach
0PW73KZ Revision of Nonautologous Tissue Substitute in Right Glenoid Cavity, Percutaneous Approach
0PW744Z Revision of Internal Fixation Device in Right Glenoid Cavity, Percutaneous Endoscopic Approach
0PW747Z Revision of Autologous Tissue Substitute in Right Glenoid Cavity, Percutaneous Endoscopic Approach
0PW74JZ Revision of Synthetic Substitute in Right Glenoid Cavity, Percutaneous Endoscopic Approach
0PW74KZ Revision of Nonautologous Tissue Substitute in Right Glenoid Cavity, Percutaneous Endoscopic Approach
0PW7X4Z Revision of Internal Fixation Device in Right Glenoid Cavity, External Approach
0PW7X7Z Revision of Autologous Tissue Substitute in Right Glenoid Cavity, External Approach
0PW7XJZ Revision of Synthetic Substitute in Right Glenoid Cavity, External Approach
0PW7XKZ Revision of Nonautologous Tissue Substitute in Right Glenoid Cavity, External Approach
0PW804Z Revision of Internal Fixation Device in Left Glenoid Cavity, Open Approach
0PW807Z Revision of Autologous Tissue Substitute in Left Glenoid Cavity, Open Approach
0PW80JZ Revision of Synthetic Substitute in Left Glenoid Cavity, Open Approach
0PW80KZ Revision of Nonautologous Tissue Substitute in Left Glenoid Cavity, Open Approach
0PW834Z Revision of Internal Fixation Device in Left Glenoid Cavity, Percutaneous Approach
0PW837Z Revision of Autologous Tissue Substitute in Left Glenoid Cavity, Percutaneous Approach
0PW83JZ Revision of Synthetic Substitute in Left Glenoid Cavity, Percutaneous Approach
0PW83KZ Revision of Nonautologous Tissue Substitute in Left Glenoid Cavity, Percutaneous Approach
0PW844Z Revision of Internal Fixation Device in Left Glenoid Cavity, Percutaneous Endoscopic Approach
0PW847Z Revision of Autologous Tissue Substitute in Left Glenoid Cavity, Percutaneous Endoscopic Approach
0PW84JZ Revision of Synthetic Substitute in Left Glenoid Cavity, Percutaneous Endoscopic Approach
0PW84KZ Revision of Nonautologous Tissue Substitute in Left Glenoid Cavity, Percutaneous Endoscopic Approach
0PW8X4Z Revision of Internal Fixation Device in Left Glenoid Cavity, External Approach
0PW8X7Z Revision of Autologous Tissue Substitute in Left Glenoid Cavity, External Approach
0PW8XJZ Revision of Synthetic Substitute in Left Glenoid Cavity, External Approach
0PW8XKZ Revision of Nonautologous Tissue Substitute in Left Glenoid Cavity, External Approach
0PW904Z Revision of Internal Fixation Device in Right Clavicle, Open Approach
0PW907Z Revision of Autologous Tissue Substitute in Right Clavicle, Open Approach
0PW90JZ Revision of Synthetic Substitute in Right Clavicle, Open Approach
0PW90KZ Revision of Nonautologous Tissue Substitute in Right Clavicle, Open Approach
0PW934Z Revision of Internal Fixation Device in Right Clavicle, Percutaneous Approach
0PW937Z Revision of Autologous Tissue Substitute in Right Clavicle, Percutaneous Approach
0PW93JZ Revision of Synthetic Substitute in Right Clavicle, Percutaneous Approach
0PW93KZ Revision of Nonautologous Tissue Substitute in Right Clavicle, Percutaneous Approach
0PW944Z Revision of Internal Fixation Device in Right Clavicle, Percutaneous Endoscopic Approach
0PW947Z Revision of Autologous Tissue Substitute in Right Clavicle, Percutaneous Endoscopic Approach
0PW94JZ Revision of Synthetic Substitute in Right Clavicle, Percutaneous Endoscopic Approach
0PW94KZ Revision of Nonautologous Tissue Substitute in Right Clavicle, Percutaneous Endoscopic Approach
0PW9X4Z Revision of Internal Fixation Device in Right Clavicle, External Approach
0PW9X7Z Revision of Autologous Tissue Substitute in Right Clavicle, External Approach
0PW9XJZ Revision of Synthetic Substitute in Right Clavicle, External Approach
0PW9XKZ Revision of Nonautologous Tissue Substitute in Right Clavicle, External Approach
0PWB04Z Revision of Internal Fixation Device in Left Clavicle, Open Approach
0PWB07Z Revision of Autologous Tissue Substitute in Left Clavicle, Open Approach
0PWB0JZ Revision of Synthetic Substitute in Left Clavicle, Open Approach
0PWB0KZ Revision of Nonautologous Tissue Substitute in Left Clavicle, Open Approach
0PWB34Z Revision of Internal Fixation Device in Left Clavicle, Percutaneous Approach
0PWB37Z Revision of Autologous Tissue Substitute in Left Clavicle, Percutaneous Approach
0PWB3JZ Revision of Synthetic Substitute in Left Clavicle, Percutaneous Approach
0PWB3KZ Revision of Nonautologous Tissue Substitute in Left Clavicle, Percutaneous Approach
0PWB44Z Revision of Internal Fixation Device in Left Clavicle, Percutaneous Endoscopic Approach
0PWB47Z Revision of Autologous Tissue Substitute in Left Clavicle, Percutaneous Endoscopic Approach
0PWB4JZ Revision of Synthetic Substitute in Left Clavicle, Percutaneous Endoscopic Approach
0PWB4KZ Revision of Nonautologous Tissue Substitute in Left Clavicle, Percutaneous Endoscopic Approach
0PWBX4Z Revision of Internal Fixation Device in Left Clavicle, External Approach
0PWBX7Z Revision of Autologous Tissue Substitute in Left Clavicle, External Approach
0PWBXJZ Revision of Synthetic Substitute in Left Clavicle, External Approach
0PWBXKZ Revision of Nonautologous Tissue Substitute in Left Clavicle, External Approach
0PWC04Z Revision of Internal Fixation Device in Right Humeral Head, Open Approach
0PWC05Z Revision of External Fixation Device in Right Humeral Head, Open Approach
0PWC07Z Revision of Autologous Tissue Substitute in Right Humeral Head, Open Approach
0PWC0JZ Revision of Synthetic Substitute in Right Humeral Head, Open Approach
0PWC0KZ Revision of Nonautologous Tissue Substitute in Right Humeral Head, Open Approach
0PWC34Z Revision of Internal Fixation Device in Right Humeral Head, Percutaneous Approach
0PWC35Z Revision of External Fixation Device in Right Humeral Head, Percutaneous Approach
0PWC37Z Revision of Autologous Tissue Substitute in Right Humeral Head, Percutaneous Approach
0PWC3JZ Revision of Synthetic Substitute in Right Humeral Head, Percutaneous Approach
0PWC3KZ Revision of Nonautologous Tissue Substitute in Right Humeral Head, Percutaneous Approach
0PWC44Z Revision of Internal Fixation Device in Right Humeral Head, Percutaneous Endoscopic Approach
0PWC45Z Revision of External Fixation Device in Right Humeral Head, Percutaneous Endoscopic Approach
0PWC47Z Revision of Autologous Tissue Substitute in Right Humeral Head, Percutaneous Endoscopic Approach
0PWC4JZ Revision of Synthetic Substitute in Right Humeral Head, Percutaneous Endoscopic Approach
0PWC4KZ Revision of Nonautologous Tissue Substitute in Right Humeral Head, Percutaneous Endoscopic Approach
0PWCX4Z Revision of Internal Fixation Device in Right Humeral Head, External Approach
0PWCX5Z Revision of External Fixation Device in Right Humeral Head, External Approach
0PWCX7Z Revision of Autologous Tissue Substitute in Right Humeral Head, External Approach
0PWCXJZ Revision of Synthetic Substitute in Right Humeral Head, External Approach
0PWCXKZ Revision of Nonautologous Tissue Substitute in Right Humeral Head, External Approach
0PWD04Z Revision of Internal Fixation Device in Left Humeral Head, Open Approach
0PWD05Z Revision of External Fixation Device in Left Humeral Head, Open Approach
0PWD07Z Revision of Autologous Tissue Substitute in Left Humeral Head, Open Approach
0PWD0JZ Revision of Synthetic Substitute in Left Humeral Head, Open Approach
0PWD0KZ Revision of Nonautologous Tissue Substitute in Left Humeral Head, Open Approach
0PWD34Z Revision of Internal Fixation Device in Left Humeral Head, Percutaneous Approach
0PWD35Z Revision of External Fixation Device in Left Humeral Head, Percutaneous Approach
0PWD37Z Revision of Autologous Tissue Substitute in Left Humeral Head, Percutaneous Approach
0PWD3JZ Revision of Synthetic Substitute in Left Humeral Head, Percutaneous Approach
0PWD3KZ Revision of Nonautologous Tissue Substitute in Left Humeral Head, Percutaneous Approach
0PWD44Z Revision of Internal Fixation Device in Left Humeral Head, Percutaneous Endoscopic Approach
0PWD45Z Revision of External Fixation Device in Left Humeral Head, Percutaneous Endoscopic Approach
0PWD47Z Revision of Autologous Tissue Substitute in Left Humeral Head, Percutaneous Endoscopic Approach
0PWD4JZ Revision of Synthetic Substitute in Left Humeral Head, Percutaneous Endoscopic Approach
0PWD4KZ Revision of Nonautologous Tissue Substitute in Left Humeral Head, Percutaneous Endoscopic Approach
0PWDX4Z Revision of Internal Fixation Device in Left Humeral Head, External Approach
0PWDX5Z Revision of External Fixation Device in Left Humeral Head, External Approach
0PWDX7Z Revision of Autologous Tissue Substitute in Left Humeral Head, External Approach
0PWDXJZ Revision of Synthetic Substitute in Left Humeral Head, External Approach
0PWDXKZ Revision of Nonautologous Tissue Substitute in Left Humeral Head, External Approach
0PWF04Z Revision of Internal Fixation Device in Right Humeral Shaft, Open Approach
0PWF05Z Revision of External Fixation Device in Right Humeral Shaft, Open Approach
0PWF07Z Revision of Autologous Tissue Substitute in Right Humeral Shaft, Open Approach
0PWF0JZ Revision of Synthetic Substitute in Right Humeral Shaft, Open Approach
0PWF0KZ Revision of Nonautologous Tissue Substitute in Right Humeral Shaft, Open Approach
0PWF34Z Revision of Internal Fixation Device in Right Humeral Shaft, Percutaneous Approach
0PWF35Z Revision of External Fixation Device in Right Humeral Shaft, Percutaneous Approach
0PWF37Z Revision of Autologous Tissue Substitute in Right Humeral Shaft, Percutaneous Approach
0PWF3JZ Revision of Synthetic Substitute in Right Humeral Shaft, Percutaneous Approach
0PWF3KZ Revision of Nonautologous Tissue Substitute in Right Humeral Shaft, Percutaneous Approach
0PWF44Z Revision of Internal Fixation Device in Right Humeral Shaft, Percutaneous Endoscopic Approach
0PWF45Z Revision of External Fixation Device in Right Humeral Shaft, Percutaneous Endoscopic Approach
0PWF47Z Revision of Autologous Tissue Substitute in Right Humeral Shaft, Percutaneous Endoscopic Approach
0PWF4JZ Revision of Synthetic Substitute in Right Humeral Shaft, Percutaneous Endoscopic Approach
0PWF4KZ Revision of Nonautologous Tissue Substitute in Right Humeral Shaft, Percutaneous Endoscopic Approach
0PWFX4Z Revision of Internal Fixation Device in Right Humeral Shaft, External Approach
0PWFX5Z Revision of External Fixation Device in Right Humeral Shaft, External Approach
0PWFX7Z Revision of Autologous Tissue Substitute in Right Humeral Shaft, External Approach
0PWFXJZ Revision of Synthetic Substitute in Right Humeral Shaft, External Approach
0PWFXKZ Revision of Nonautologous Tissue Substitute in Right Humeral Shaft, External Approach
0PWG04Z Revision of Internal Fixation Device in Left Humeral Shaft, Open Approach
0PWG05Z Revision of External Fixation Device in Left Humeral Shaft, Open Approach
0PWG07Z Revision of Autologous Tissue Substitute in Left Humeral Shaft, Open Approach
0PWG0JZ Revision of Synthetic Substitute in Left Humeral Shaft, Open Approach
0PWG0KZ Revision of Nonautologous Tissue Substitute in Left Humeral Shaft, Open Approach
0PWG34Z Revision of Internal Fixation Device in Left Humeral Shaft, Percutaneous Approach
0PWG35Z Revision of External Fixation Device in Left Humeral Shaft, Percutaneous Approach
0PWG37Z Revision of Autologous Tissue Substitute in Left Humeral Shaft, Percutaneous Approach
0PWG3JZ Revision of Synthetic Substitute in Left Humeral Shaft, Percutaneous Approach
0PWG3KZ Revision of Nonautologous Tissue Substitute in Left Humeral Shaft, Percutaneous Approach
0PWG44Z Revision of Internal Fixation Device in Left Humeral Shaft, Percutaneous Endoscopic Approach
0PWG45Z Revision of External Fixation Device in Left Humeral Shaft, Percutaneous Endoscopic Approach
0PWG47Z Revision of Autologous Tissue Substitute in Left Humeral Shaft, Percutaneous Endoscopic Approach
0PWG4JZ Revision of Synthetic Substitute in Left Humeral Shaft, Percutaneous Endoscopic Approach
0PWG4KZ Revision of Nonautologous Tissue Substitute in Left Humeral Shaft, Percutaneous Endoscopic Approach
0PWGX4Z Revision of Internal Fixation Device in Left Humeral Shaft, External Approach
0PWGX5Z Revision of External Fixation Device in Left Humeral Shaft, External Approach
0PWGX7Z Revision of Autologous Tissue Substitute in Left Humeral Shaft, External Approach
0PWGXJZ Revision of Synthetic Substitute in Left Humeral Shaft, External Approach
0PWGXKZ Revision of Nonautologous Tissue Substitute in Left Humeral Shaft, External Approach
0PWH04Z Revision of Internal Fixation Device in Right Radius, Open Approach
0PWH05Z Revision of External Fixation Device in Right Radius, Open Approach
0PWH07Z Revision of Autologous Tissue Substitute in Right Radius, Open Approach
0PWH0JZ Revision of Synthetic Substitute in Right Radius, Open Approach
0PWH0KZ Revision of Nonautologous Tissue Substitute in Right Radius, Open Approach
0PWH34Z Revision of Internal Fixation Device in Right Radius, Percutaneous Approach
0PWH35Z Revision of External Fixation Device in Right Radius, Percutaneous Approach
0PWH37Z Revision of Autologous Tissue Substitute in Right Radius, Percutaneous Approach
0PWH3JZ Revision of Synthetic Substitute in Right Radius, Percutaneous Approach
0PWH3KZ Revision of Nonautologous Tissue Substitute in Right Radius, Percutaneous Approach
0PWH44Z Revision of Internal Fixation Device in Right Radius, Percutaneous Endoscopic Approach
0PWH45Z Revision of External Fixation Device in Right Radius, Percutaneous Endoscopic Approach
0PWH47Z Revision of Autologous Tissue Substitute in Right Radius, Percutaneous Endoscopic Approach
0PWH4JZ Revision of Synthetic Substitute in Right Radius, Percutaneous Endoscopic Approach
0PWH4KZ Revision of Nonautologous Tissue Substitute in Right Radius, Percutaneous Endoscopic Approach
0PWHX4Z Revision of Internal Fixation Device in Right Radius, External Approach
0PWHX5Z Revision of External Fixation Device in Right Radius, External Approach
0PWHX7Z Revision of Autologous Tissue Substitute in Right Radius, External Approach
0PWHXJZ Revision of Synthetic Substitute in Right Radius, External Approach
0PWHXKZ Revision of Nonautologous Tissue Substitute in Right Radius, External Approach
0PWJ04Z Revision of Internal Fixation Device in Left Radius, Open Approach
0PWJ05Z Revision of External Fixation Device in Left Radius, Open Approach
0PWJ07Z Revision of Autologous Tissue Substitute in Left Radius, Open Approach
0PWJ0JZ Revision of Synthetic Substitute in Left Radius, Open Approach
0PWJ0KZ Revision of Nonautologous Tissue Substitute in Left Radius, Open Approach
0PWJ34Z Revision of Internal Fixation Device in Left Radius, Percutaneous Approach
0PWJ35Z Revision of External Fixation Device in Left Radius, Percutaneous Approach
0PWJ37Z Revision of Autologous Tissue Substitute in Left Radius, Percutaneous Approach
0PWJ3JZ Revision of Synthetic Substitute in Left Radius, Percutaneous Approach
0PWJ3KZ Revision of Nonautologous Tissue Substitute in Left Radius, Percutaneous Approach
0PWJ44Z Revision of Internal Fixation Device in Left Radius, Percutaneous Endoscopic Approach
0PWJ45Z Revision of External Fixation Device in Left Radius, Percutaneous Endoscopic Approach
0PWJ47Z Revision of Autologous Tissue Substitute in Left Radius, Percutaneous Endoscopic Approach
0PWJ4JZ Revision of Synthetic Substitute in Left Radius, Percutaneous Endoscopic Approach
0PWJ4KZ Revision of Nonautologous Tissue Substitute in Left Radius, Percutaneous Endoscopic Approach
0PWJX4Z Revision of Internal Fixation Device in Left Radius, External Approach
0PWJX5Z Revision of External Fixation Device in Left Radius, External Approach
0PWJX7Z Revision of Autologous Tissue Substitute in Left Radius, External Approach
0PWJXJZ Revision of Synthetic Substitute in Left Radius, External Approach
0PWJXKZ Revision of Nonautologous Tissue Substitute in Left Radius, External Approach
0PWK04Z Revision of Internal Fixation Device in Right Ulna, Open Approach
0PWK05Z Revision of External Fixation Device in Right Ulna, Open Approach
0PWK07Z Revision of Autologous Tissue Substitute in Right Ulna, Open Approach
0PWK0JZ Revision of Synthetic Substitute in Right Ulna, Open Approach
0PWK0KZ Revision of Nonautologous Tissue Substitute in Right Ulna, Open Approach
0PWK34Z Revision of Internal Fixation Device in Right Ulna, Percutaneous Approach
0PWK35Z Revision of External Fixation Device in Right Ulna, Percutaneous Approach
0PWK37Z Revision of Autologous Tissue Substitute in Right Ulna, Percutaneous Approach
0PWK3JZ Revision of Synthetic Substitute in Right Ulna, Percutaneous Approach
0PWK3KZ Revision of Nonautologous Tissue Substitute in Right Ulna, Percutaneous Approach
0PWK44Z Revision of Internal Fixation Device in Right Ulna, Percutaneous Endoscopic Approach
0PWK45Z Revision of External Fixation Device in Right Ulna, Percutaneous Endoscopic Approach
0PWK47Z Revision of Autologous Tissue Substitute in Right Ulna, Percutaneous Endoscopic Approach
0PWK4JZ Revision of Synthetic Substitute in Right Ulna, Percutaneous Endoscopic Approach
0PWK4KZ Revision of Nonautologous Tissue Substitute in Right Ulna, Percutaneous Endoscopic Approach
0PWKX4Z Revision of Internal Fixation Device in Right Ulna, External Approach
0PWKX5Z Revision of External Fixation Device in Right Ulna, External Approach
0PWKX7Z Revision of Autologous Tissue Substitute in Right Ulna, External Approach
0PWKXJZ Revision of Synthetic Substitute in Right Ulna, External Approach
0PWKXKZ Revision of Nonautologous Tissue Substitute in Right Ulna, External Approach
0PWL04Z Revision of Internal Fixation Device in Left Ulna, Open Approach
0PWL05Z Revision of External Fixation Device in Left Ulna, Open Approach
0PWL07Z Revision of Autologous Tissue Substitute in Left Ulna, Open Approach
0PWL0JZ Revision of Synthetic Substitute in Left Ulna, Open Approach
0PWL0KZ Revision of Nonautologous Tissue Substitute in Left Ulna, Open Approach
0PWL34Z Revision of Internal Fixation Device in Left Ulna, Percutaneous Approach
0PWL35Z Revision of External Fixation Device in Left Ulna, Percutaneous Approach
0PWL37Z Revision of Autologous Tissue Substitute in Left Ulna, Percutaneous Approach
0PWL3JZ Revision of Synthetic Substitute in Left Ulna, Percutaneous Approach
0PWL3KZ Revision of Nonautologous Tissue Substitute in Left Ulna, Percutaneous Approach
0PWL44Z Revision of Internal Fixation Device in Left Ulna, Percutaneous Endoscopic Approach
0PWL45Z Revision of External Fixation Device in Left Ulna, Percutaneous Endoscopic Approach
0PWL47Z Revision of Autologous Tissue Substitute in Left Ulna, Percutaneous Endoscopic Approach
0PWL4JZ Revision of Synthetic Substitute in Left Ulna, Percutaneous Endoscopic Approach
0PWL4KZ Revision of Nonautologous Tissue Substitute in Left Ulna, Percutaneous Endoscopic Approach
0PWLX4Z Revision of Internal Fixation Device in Left Ulna, External Approach
0PWLX5Z Revision of External Fixation Device in Left Ulna, External Approach
0PWLX7Z Revision of Autologous Tissue Substitute in Left Ulna, External Approach
0PWLXJZ Revision of Synthetic Substitute in Left Ulna, External Approach
0PWLXKZ Revision of Nonautologous Tissue Substitute in Left Ulna, External Approach
0PWM04Z Revision of Internal Fixation Device in Right Carpal, Open Approach
0PWM05Z Revision of External Fixation Device in Right Carpal, Open Approach
0PWM07Z Revision of Autologous Tissue Substitute in Right Carpal, Open Approach
0PWM0JZ Revision of Synthetic Substitute in Right Carpal, Open Approach
0PWM0KZ Revision of Nonautologous Tissue Substitute in Right Carpal, Open Approach
0PWM34Z Revision of Internal Fixation Device in Right Carpal, Percutaneous Approach
0PWM35Z Revision of External Fixation Device in Right Carpal, Percutaneous Approach
0PWM37Z Revision of Autologous Tissue Substitute in Right Carpal, Percutaneous Approach
0PWM3JZ Revision of Synthetic Substitute in Right Carpal, Percutaneous Approach
0PWM3KZ Revision of Nonautologous Tissue Substitute in Right Carpal, Percutaneous Approach
0PWM44Z Revision of Internal Fixation Device in Right Carpal, Percutaneous Endoscopic Approach
0PWM45Z Revision of External Fixation Device in Right Carpal, Percutaneous Endoscopic Approach
0PWM47Z Revision of Autologous Tissue Substitute in Right Carpal, Percutaneous Endoscopic Approach
0PWM4JZ Revision of Synthetic Substitute in Right Carpal, Percutaneous Endoscopic Approach
0PWM4KZ Revision of Nonautologous Tissue Substitute in Right Carpal, Percutaneous Endoscopic Approach
0PWMX4Z Revision of Internal Fixation Device in Right Carpal, External Approach
0PWMX5Z Revision of External Fixation Device in Right Carpal, External Approach
0PWMX7Z Revision of Autologous Tissue Substitute in Right Carpal, External Approach
0PWMXJZ Revision of Synthetic Substitute in Right Carpal, External Approach
0PWMXKZ Revision of Nonautologous Tissue Substitute in Right Carpal, External Approach
0PWN04Z Revision of Internal Fixation Device in Left Carpal, Open Approach
0PWN05Z Revision of External Fixation Device in Left Carpal, Open Approach
0PWN07Z Revision of Autologous Tissue Substitute in Left Carpal, Open Approach
0PWN0JZ Revision of Synthetic Substitute in Left Carpal, Open Approach
0PWN0KZ Revision of Nonautologous Tissue Substitute in Left Carpal, Open Approach
0PWN34Z Revision of Internal Fixation Device in Left Carpal, Percutaneous Approach
0PWN35Z Revision of External Fixation Device in Left Carpal, Percutaneous Approach
0PWN37Z Revision of Autologous Tissue Substitute in Left Carpal, Percutaneous Approach
0PWN3JZ Revision of Synthetic Substitute in Left Carpal, Percutaneous Approach
0PWN3KZ Revision of Nonautologous Tissue Substitute in Left Carpal, Percutaneous Approach
0PWN44Z Revision of Internal Fixation Device in Left Carpal, Percutaneous Endoscopic Approach
0PWN45Z Revision of External Fixation Device in Left Carpal, Percutaneous Endoscopic Approach
0PWN47Z Revision of Autologous Tissue Substitute in Left Carpal, Percutaneous Endoscopic Approach
0PWN4JZ Revision of Synthetic Substitute in Left Carpal, Percutaneous Endoscopic Approach
0PWN4KZ Revision of Nonautologous Tissue Substitute in Left Carpal, Percutaneous Endoscopic Approach
0PWNX4Z Revision of Internal Fixation Device in Left Carpal, External Approach
0PWNX5Z Revision of External Fixation Device in Left Carpal, External Approach
0PWNX7Z Revision of Autologous Tissue Substitute in Left Carpal, External Approach
0PWNXJZ Revision of Synthetic Substitute in Left Carpal, External Approach
0PWNXKZ Revision of Nonautologous Tissue Substitute in Left Carpal, External Approach
0PWP04Z Revision of Internal Fixation Device in Right Metacarpal, Open Approach
0PWP05Z Revision of External Fixation Device in Right Metacarpal, Open Approach
0PWP07Z Revision of Autologous Tissue Substitute in Right Metacarpal, Open Approach
0PWP0JZ Revision of Synthetic Substitute in Right Metacarpal, Open Approach
0PWP0KZ Revision of Nonautologous Tissue Substitute in Right Metacarpal, Open Approach
0PWP34Z Revision of Internal Fixation Device in Right Metacarpal, Percutaneous Approach
0PWP35Z Revision of External Fixation Device in Right Metacarpal, Percutaneous Approach
0PWP37Z Revision of Autologous Tissue Substitute in Right Metacarpal, Percutaneous Approach
0PWP3JZ Revision of Synthetic Substitute in Right Metacarpal, Percutaneous Approach
0PWP3KZ Revision of Nonautologous Tissue Substitute in Right Metacarpal, Percutaneous Approach
0PWP44Z Revision of Internal Fixation Device in Right Metacarpal, Percutaneous Endoscopic Approach
